;c_elec [EUR/MWh];Q_demand [MWh]
01.01.2018 00:00;-5.27;51.82893245
01.01.2018 01:00;-29.99;51.12371641
01.01.2018 02:00;-56.65;49.20212723
01.01.2018 03:00;-63.14;49.06003202
01.01.2018 04:00;-64.62;52.66989253
01.01.2018 05:00;-67;59.05520728
01.01.2018 06:00;-72.54;64.77192481
01.01.2018 07:00;-76.01;66.42426932
01.01.2018 08:00;-71.45;70.67144819
01.01.2018 09:00;-66.88;74.84758804
01.01.2018 10:00;-62;78.84301089
01.01.2018 11:00;-56.08;82.33325736
01.01.2018 12:00;-49.96;83.8365693
01.01.2018 13:00;-24.29;86.32951561
01.01.2018 14:00;-5.59;90.17672816
01.01.2018 15:00;0.23;95.16096527
01.01.2018 16:00;11.02;100.3787366
01.01.2018 17:00;23.5;105.4478071
01.01.2018 18:00;22.91;109.5457479
01.01.2018 19:00;21.02;112.3504917
01.01.2018 20:00;21.05;115.037152
01.01.2018 21:00;21.95;114.4661214
01.01.2018 22:00;23.52;108.1372004
01.01.2018 23:00;18.96;99.83440974
02.01.2018 00:00;18.12;98.64711098
02.01.2018 01:00;14.99;98.91884011
02.01.2018 02:00;13.63;98.45393424
02.01.2018 03:00;12.15;100.4908153
02.01.2018 04:00;11.83;105.4882343
02.01.2018 05:00;14.55;114.0358851
02.01.2018 06:00;22.58;118.6420059
02.01.2018 07:00;41.92;119.3863686
02.01.2018 08:00;47.95;119.0619585
02.01.2018 09:00;49.9;118.5859252
02.01.2018 10:00;50;119.5596112
02.01.2018 11:00;49.7;119.5684068
02.01.2018 12:00;48.16;120.9917975
02.01.2018 13:00;47.24;116.9047397
02.01.2018 14:00;46.1;123.4501825
02.01.2018 15:00;43.86;124.3798628
02.01.2018 16:00;43.64;125.9709315
02.01.2018 17:00;47.37;128.0563603
02.01.2018 18:00;46.08;128.8180121
02.01.2018 19:00;41.08;126.4966639
02.01.2018 20:00;34.94;123.687643
02.01.2018 21:00;25.46;121.0731131
02.01.2018 22:00;21.3;115.1616467
02.01.2018 23:00;9.94;111.4901223
03.01.2018 00:00;7.93;112.0799706
03.01.2018 01:00;0.03;113.3107367
03.01.2018 02:00;0.02;112.7044179
03.01.2018 03:00;-5.99;110.4554399
03.01.2018 04:00;-9.21;110.2335676
03.01.2018 05:00;-4.64;115.576829
03.01.2018 06:00;8.02;118.6420059
03.01.2018 07:00;11.03;118.7680782
03.01.2018 08:00;13.28;117.3963405
03.01.2018 09:00;13.18;114.4034044
03.01.2018 10:00;13.71;111.2946491
03.01.2018 11:00;15.42;108.4839545
03.01.2018 12:00;15.84;105.9866214
03.01.2018 13:00;16;99.81075121
03.01.2018 14:00;15.75;109.6919852
03.01.2018 15:00;15.14;112.3926204
03.01.2018 16:00;16;118.4665176
03.01.2018 17:00;15.11;122.1148166
03.01.2018 18:00;13.37;122.7910943
03.01.2018 19:00;11.06;119.4412792
03.01.2018 20:00;10.06;115.4198031
03.01.2018 21:00;9.3;109.1050848
03.01.2018 22:00;9.87;99.04397905
03.01.2018 23:00;4.97;89.69596528
04.01.2018 00:00;-0.36;85.03778142
04.01.2018 01:00;-5.57;82.11265039
04.01.2018 02:00;-7.85;79.0723994
04.01.2018 03:00;-5.29;79.27947193
04.01.2018 04:00;-1.75;83.30937675
04.01.2018 05:00;6.01;91.86284228
04.01.2018 06:00;19.96;98.09315193
04.01.2018 07:00;33.59;98.49914341
04.01.2018 08:00;40.45;97.98122417
04.01.2018 09:00;41.97;96.48913015
04.01.2018 10:00;44.91;96.16096564
04.01.2018 11:00;48.22;95.88293488
04.01.2018 12:00;46.04;98.10677373
04.01.2018 13:00;42;94.61458559
04.01.2018 14:00;41.08;106.7709045
04.01.2018 15:00;42.04;111.8136403
04.01.2018 16:00;42.53;117.7083962
04.01.2018 17:00;51.43;121.9276032
04.01.2018 18:00;49.96;122.7910943
04.01.2018 19:00;46.73;119.8377179
04.01.2018 20:00;41.57;115.2386975
04.01.2018 21:00;37.09;109.466184
04.01.2018 22:00;33.92;101.1938766
04.01.2018 23:00;28.05;93.41118265
05.01.2018 00:00;5.96;89.42893632
05.01.2018 01:00;-0.94;85.76545848
05.01.2018 02:00;-0.03;79.62526371
05.01.2018 03:00;0.55;75.71826534
05.01.2018 04:00;-11.81;76.88221094
05.01.2018 05:00;8.92;84.03420035
05.01.2018 06:00;21.68;92.55586616
05.01.2018 07:00;30.44;96.49237463
05.01.2018 08:00;36.2;97.31967199
05.01.2018 09:00;36.3;94.95503377
05.01.2018 10:00;38.95;92.28224018
05.01.2018 11:00;39.4;88.82974292
05.01.2018 12:00;41.69;87.57798647
05.01.2018 13:00;43.69;83.31846421
05.01.2018 14:00;44.08;95.99257023
05.01.2018 15:00;47.1;103.4667067
05.01.2018 16:00;47.77;112.7538088
05.01.2018 17:00;56.35;117.5996417
05.01.2018 18:00;57.42;120.7628432
05.01.2018 19:00;53.99;120.4314555
05.01.2018 20:00;42.36;119.3906867
05.01.2018 21:00;39.9;115.5730383
05.01.2018 22:00;39.97;108.8475639
05.01.2018 23:00;36.27;101.8478715
06.01.2018 00:00;29.45;96.36205411
06.01.2018 01:00;28.55;95.1557194
06.01.2018 02:00;28.18;92.560134
06.01.2018 03:00;27.33;92.85340779
06.01.2018 04:00;27.08;95.81176048
06.01.2018 05:00;28.7;103.7169882
06.01.2018 06:00;30;110.2729549
06.01.2018 07:00;31.36;109.5709357
06.01.2018 08:00;34.19;110.7487333
06.01.2018 09:00;41.11;111.5056064
06.01.2018 10:00;44;110.0904629
06.01.2018 11:00;43.74;107.8000935
06.01.2018 12:00;44.01;106.1860414
06.01.2018 13:00;42.9;105.910039
06.01.2018 14:00;38.7;106.742064
06.01.2018 15:00;37.4;111.1149562
06.01.2018 16:00;40.52;115.416157
06.01.2018 17:00;45.46;119.6327514
06.01.2018 18:00;49.98;121.7740963
06.01.2018 19:00;45.9;121.6558975
06.01.2018 20:00;40.9;120.6351388
06.01.2018 21:00;33.69;118.2777482
06.01.2018 22:00;36.26;111.3807426
06.01.2018 23:00;29.03;103.4921526
07.01.2018 00:00;21.87;99.97547748
07.01.2018 01:00;15.98;98.81290018
07.01.2018 02:00;15.99;96.85772823
07.01.2018 03:00;14;98.43852154
07.01.2018 04:00;12.51;101.4545593
07.01.2018 05:00;13.21;109.6458259
07.01.2018 06:00;12.17;115.9238743
07.01.2018 07:00;13.02;116.5528255
07.01.2018 08:00;20.52;119.8427741
07.01.2018 09:00;23.22;122.6555759
07.01.2018 10:00;24.81;124.7245358
07.01.2018 11:00;28.95;127.0748844
07.01.2018 12:00;28.96;128.8223719
07.01.2018 13:00;27.08;130.5346832
07.01.2018 14:00;23.46;133.0229708
07.01.2018 15:00;23.7;137.9613245
07.01.2018 16:00;27.21;145.3727027
07.01.2018 17:00;30.88;152.4236531
07.01.2018 18:00;34.34;156.6500065
07.01.2018 19:00;32.33;157.4327046
07.01.2018 20:00;31.44;154.8821772
07.01.2018 21:00;28.94;152.09765
07.01.2018 22:00;29.69;145.8352441
07.01.2018 23:00;27.01;139.6436769
08.01.2018 00:00;18.91;139.1297494
08.01.2018 01:00;15.15;139.1442519
08.01.2018 02:00;15.11;138.7523176
08.01.2018 03:00;13.42;140.1888063
08.01.2018 04:00;12.91;145.4332947
08.01.2018 05:00;17.1;156.3888236
08.01.2018 06:00;30.03;164.0040131
08.01.2018 07:00;42.93;167.6442914
08.01.2018 08:00;44.95;169.9175494
08.01.2018 09:00;42.57;169.1792135
08.01.2018 10:00;41.98;166.8068369
08.01.2018 11:00;41.54;162.3404025
08.01.2018 12:00;42.9;157.1478528
08.01.2018 13:00;42.9;150.5296087
08.01.2018 14:00;40.91;154.1503552
08.01.2018 15:00;40.97;157.3147609
08.01.2018 16:00;39.69;162.8265143
08.01.2018 17:00;40.26;167.4403726
08.01.2018 18:00;37.99;169.5234155
08.01.2018 19:00;31.92;169.255622
08.01.2018 20:00;28.02;165.6275783
08.01.2018 21:00;22.35;161.0374897
08.01.2018 22:00;22.7;153.6539021
08.01.2018 23:00;4.89;146.789585
09.01.2018 00:00;13.09;142.7237795
