;T_amb [C];DHI [W/m2];GHI [W/m2]
01.01.2018 00:00;11.3;0;0
01.01.2018 01:00;10.9;0;0
01.01.2018 02:00;11.1;0;0
01.01.2018 03:00;10.4;0;0
01.01.2018 04:00;9.5;0;0
01.01.2018 05:00;9.2;0;0
01.01.2018 06:00;9.1;0;0
01.01.2018 07:00;8.7;0;0
01.01.2018 08:00;7.8;22.22222222;25
01.01.2018 09:00;7.7;58.33333333;88.88888889
01.01.2018 10:00;8;80.55555556;147.2222222
01.01.2018 11:00;8.4;72.22222222;205.5555556
01.01.2018 12:00;9.1;97.22222222;180.5555556
01.01.2018 13:00;8.6;61.11111111;66.66666667
01.01.2018 14:00;7.9;44.44444444;58.33333333
01.01.2018 15:00;7.3;19.44444444;22.22222222
01.01.2018 16:00;7.5;0;0
01.01.2018 17:00;6.6;0;0
01.01.2018 18:00;5.2;0;0
01.01.2018 19:00;4.7;0;0
01.01.2018 20:00;4.2;0;0
01.01.2018 21:00;4.3;0;0
01.01.2018 22:00;4.3;0;0
01.01.2018 23:00;4.7;0;0
02.01.2018 00:00;4.4;0;0
02.01.2018 01:00;3.8;0;0
02.01.2018 02:00;3.3;0;0
02.01.2018 03:00;3.4;0;0
02.01.2018 04:00;3.6;0;0
02.01.2018 05:00;3.8;0;0
02.01.2018 06:00;3.9;0;0
02.01.2018 07:00;3.3;0;0
02.01.2018 08:00;3.2;8.333333333;8.333333333
02.01.2018 09:00;3.5;33.33333333;33.33333333
02.01.2018 10:00;3.9;33.33333333;33.33333333
02.01.2018 11:00;4.2;27.77777778;27.77777778
02.01.2018 12:00;4.7;47.22222222;47.22222222
02.01.2018 13:00;5.3;58.33333333;58.33333333
02.01.2018 14:00;5.6;50;50
02.01.2018 15:00;5.2;11.11111111;11.11111111
02.01.2018 16:00;4.7;0;0
02.01.2018 17:00;4.6;0;0
02.01.2018 18:00;4.3;0;0
02.01.2018 19:00;4.3;0;0
02.01.2018 20:00;4;0;0
02.01.2018 21:00;2.8;0;0
02.01.2018 22:00;3;0;0
02.01.2018 23:00;2.1;0;0
03.01.2018 00:00;1.8;0;0
03.01.2018 01:00;1.9;0;0
03.01.2018 02:00;2.2;0;0
03.01.2018 03:00;3.4;0;0
03.01.2018 04:00;4;0;0
03.01.2018 05:00;3.7;0;0
03.01.2018 06:00;3.6;0;0
03.01.2018 07:00;3.6;0;0
03.01.2018 08:00;4.1;2.777777778;2.777777778
03.01.2018 09:00;4.6;27.77777778;27.77777778
03.01.2018 10:00;5.6;47.22222222;47.22222222
03.01.2018 11:00;6;66.66666667;69.44444444
03.01.2018 12:00;7.7;111.1111111;172.2222222
03.01.2018 13:00;6.9;94.44444444;127.7777778
03.01.2018 14:00;6.4;50;100
03.01.2018 15:00;6.1;2.777777778;5.555555556
03.01.2018 16:00;5.4;0;0
03.01.2018 17:00;5.4;0;0
03.01.2018 18:00;5.2;0;0
03.01.2018 19:00;5.5;0;0
03.01.2018 20:00;5.7;0;0
03.01.2018 21:00;5.7;0;0
03.01.2018 22:00;6.3;0;0
03.01.2018 23:00;6.7;0;0
04.01.2018 00:00;6.8;0;0
04.01.2018 01:00;6.7;0;0
04.01.2018 02:00;6.6;0;0
04.01.2018 03:00;6.2;0;0
04.01.2018 04:00;6.2;0;0
04.01.2018 05:00;6;0;0
04.01.2018 06:00;6;0;0
04.01.2018 07:00;6.1;0;0
04.01.2018 08:00;5.9;8.333333333;8.333333333
04.01.2018 09:00;6.2;33.33333333;33.33333333
04.01.2018 10:00;6.8;88.88888889;91.66666667
04.01.2018 11:00;7.5;80.55555556;80.55555556
04.01.2018 12:00;7.3;69.44444444;72.22222222
04.01.2018 13:00;7;38.88888889;38.88888889
04.01.2018 14:00;6.7;41.66666667;41.66666667
04.01.2018 15:00;6.4;16.66666667;16.66666667
04.01.2018 16:00;5.1;0;0
04.01.2018 17:00;5.2;0;0
04.01.2018 18:00;5.4;0;0
04.01.2018 19:00;5.6;0;0
04.01.2018 20:00;5.7;0;0
04.01.2018 21:00;5.2;0;0
04.01.2018 22:00;5.5;0;0
04.01.2018 23:00;5.9;0;0
05.01.2018 00:00;6.4;0;0
05.01.2018 01:00;6.7;0;0
05.01.2018 02:00;7.5;0;0
05.01.2018 03:00;7.6;0;0
05.01.2018 04:00;7.2;0;0
05.01.2018 05:00;6.4;0;0
05.01.2018 06:00;5.7;0;0
05.01.2018 07:00;5.9;0;0
05.01.2018 08:00;6.3;8.333333333;8.333333333
05.01.2018 09:00;7;36.11111111;36.11111111
05.01.2018 10:00;7.6;75;80.55555556
05.01.2018 11:00;8.9;105.5555556;105.5555556
05.01.2018 12:00;9.5;119.4444444;119.4444444
05.01.2018 13:00;7.8;55.55555556;61.11111111
05.01.2018 14:00;7.8;52.77777778;55.55555556
05.01.2018 15:00;6.6;13.88888889;13.88888889
05.01.2018 16:00;5.6;0;0
05.01.2018 17:00;5.7;0;0
05.01.2018 18:00;5.3;0;0
05.01.2018 19:00;4.4;0;0
05.01.2018 20:00;4.2;0;0
05.01.2018 21:00;4.6;0;0
05.01.2018 22:00;4.5;0;0
05.01.2018 23:00;4.2;0;0
06.01.2018 00:00;4.2;0;0
06.01.2018 01:00;4.7;0;0
06.01.2018 02:00;4.3;0;0
06.01.2018 03:00;3.8;0;0
06.01.2018 04:00;3.4;0;0
06.01.2018 05:00;3.6;0;0
06.01.2018 06:00;2.9;0;0
06.01.2018 07:00;3.3;0;0
06.01.2018 08:00;3.2;16.66666667;19.44444444
06.01.2018 09:00;3.9;55.55555556;61.11111111
06.01.2018 10:00;4.6;100;116.6666667
06.01.2018 11:00;6.1;111.1111111;136.1111111
06.01.2018 12:00;6;97.22222222;111.1111111
06.01.2018 13:00;6.1;94.44444444;97.22222222
06.01.2018 14:00;6.1;47.22222222;47.22222222
06.01.2018 15:00;5.4;8.333333333;8.333333333
06.01.2018 16:00;5.1;0;0
06.01.2018 17:00;4.8;0;0
06.01.2018 18:00;4.5;0;0
06.01.2018 19:00;4.4;0;0
06.01.2018 20:00;3.8;0;0
06.01.2018 21:00;3.5;0;0
06.01.2018 22:00;3.9;0;0
06.01.2018 23:00;4.1;0;0
07.01.2018 00:00;3.8;0;0
07.01.2018 01:00;3.6;0;0
07.01.2018 02:00;3.3;0;0
07.01.2018 03:00;3;0;0
07.01.2018 04:00;3;0;0
07.01.2018 05:00;2.4;0;0
07.01.2018 06:00;2.1;0;0
07.01.2018 07:00;1.8;0;0
07.01.2018 08:00;1.6;11.11111111;11.11111111
07.01.2018 09:00;1.5;36.11111111;36.11111111
07.01.2018 10:00;1.7;63.88888889;63.88888889
07.01.2018 11:00;1.9;97.22222222;100
07.01.2018 12:00;2.3;116.6666667;119.4444444
07.01.2018 13:00;2.2;88.88888889;91.66666667
